t0	08-Oct-20  18:00:00.031056
delta t	0.000100

time	Y
08-Oct-20  18:00:00.031056	0.603027
08-Oct-20  18:00:00.031156	0.603027
08-Oct-20  18:00:00.031256	-0.012207
08-Oct-20  18:00:00.031356	0.334473
08-Oct-20  18:00:00.031456	0.686035
08-Oct-20  18:00:00.031556	1.032715
08-Oct-20  18:00:00.031656	1.384277
08-Oct-20  18:00:00.031756	1.730957
08-Oct-20  18:00:00.031856	2.077637
08-Oct-20  18:00:00.031956	2.429199
08-Oct-20  18:00:00.032056	2.775879
08-Oct-20  18:00:00.032156	3.122559
08-Oct-20  18:00:00.032256	3.474121
08-Oct-20  18:00:00.032356	-3.576660
08-Oct-20  18:00:00.032456	-3.229980
08-Oct-20  18:00:00.032556	-2.883301
08-Oct-20  18:00:00.032656	-2.531738
08-Oct-20  18:00:00.032756	-2.182617
08-Oct-20  18:00:00.032856	-1.833496
08-Oct-20  18:00:00.032956	-1.486816
08-Oct-20  18:00:00.033056	-1.140137
08-Oct-20  18:00:00.033156	-0.788574
08-Oct-20  18:00:00.033256	-0.441895
08-Oct-20  18:00:00.033356	-0.095215
08-Oct-20  18:00:00.033456	0.256348
08-Oct-20  18:00:00.033556	0.603027
08-Oct-20  18:00:00.033656	0.954590
08-Oct-20  18:00:00.033756	1.301270
08-Oct-20  18:00:00.033856	1.647949
08-Oct-20  18:00:00.033956	1.999512
08-Oct-20  18:00:00.034056	2.346191
08-Oct-20  18:00:00.034156	2.697754
08-Oct-20  18:00:00.034256	3.044434
08-Oct-20  18:00:00.034356	3.391113
08-Oct-20  18:00:00.034456	-3.657227
08-Oct-20  18:00:00.034556	-3.305664
08-Oct-20  18:00:00.034656	-2.961426
08-Oct-20  18:00:00.034756	-2.614746
08-Oct-20  18:00:00.034856	-2.263184
08-Oct-20  18:00:00.034956	-1.916504
08-Oct-20  18:00:00.035056	-1.569824
08-Oct-20  18:00:00.035156	-1.218262
08-Oct-20  18:00:00.035256	-0.871582
08-Oct-20  18:00:00.035356	-0.520020
08-Oct-20  18:00:00.035456	-0.173340
08-Oct-20  18:00:00.035556	0.173340
08-Oct-20  18:00:00.035656	0.524902
08-Oct-20  18:00:00.035756	0.871582
08-Oct-20  18:00:00.035856	1.218262
08-Oct-20  18:00:00.035956	1.569824
08-Oct-20  18:00:00.036056	1.916504
08-Oct-20  18:00:00.036156	2.268066
08-Oct-20  18:00:00.036256	2.614746
08-Oct-20  18:00:00.036356	2.961426
08-Oct-20  18:00:00.036456	3.310547
08-Oct-20  18:00:00.036556	3.659668
08-Oct-20  18:00:00.036656	-3.388672
08-Oct-20  18:00:00.036756	-3.044434
08-Oct-20  18:00:00.036856	-2.692871
08-Oct-20  18:00:00.036956	-2.343750
08-Oct-20  18:00:00.037056	-1.994629
08-Oct-20  18:00:00.037156	-1.647949
08-Oct-20  18:00:00.037256	-1.301270
08-Oct-20  18:00:00.037356	-0.949707
08-Oct-20  18:00:00.037456	-0.603027
08-Oct-20  18:00:00.037556	-0.256348
08-Oct-20  18:00:00.037656	0.095215
08-Oct-20  18:00:00.037756	0.441895
08-Oct-20  18:00:00.037856	0.793457
08-Oct-20  18:00:00.037956	1.140137
08-Oct-20  18:00:00.038056	1.486816
08-Oct-20  18:00:00.038156	1.838379
08-Oct-20  18:00:00.038256	2.185059
08-Oct-20  18:00:00.038356	2.531738
08-Oct-20  18:00:00.038456	2.883301
08-Oct-20  18:00:00.038556	3.229980
08-Oct-20  18:00:00.038656	3.581543
08-Oct-20  18:00:00.038756	-3.474121
08-Oct-20  18:00:00.038856	-3.120117
08-Oct-20  18:00:00.038956	-2.775879
08-Oct-20  18:00:00.039056	-2.424316
08-Oct-20  18:00:00.039156	-2.077637
08-Oct-20  18:00:00.039256	-1.730957
08-Oct-20  18:00:00.039356	-1.379395
08-Oct-20  18:00:00.039456	-1.032715
08-Oct-20  18:00:00.039556	-0.681152
08-Oct-20  18:00:00.039656	-0.334473
08-Oct-20  18:00:00.039756	0.012207
08-Oct-20  18:00:00.039856	0.363770
08-Oct-20  18:00:00.039956	0.710449
08-Oct-20  18:00:00.040056	1.057129
08-Oct-20  18:00:00.040156	1.408691
08-Oct-20  18:00:00.040256	1.755371
08-Oct-20  18:00:00.040356	2.106934
08-Oct-20  18:00:00.040456	2.453613
08-Oct-20  18:00:00.040556	2.800293
08-Oct-20  18:00:00.040656	3.151855
08-Oct-20  18:00:00.040756	3.498535
08-Oct-20  18:00:00.040856	-3.549805
08-Oct-20  18:00:00.040956	-3.205566
08-Oct-20  18:00:00.041056	-2.854004
08-Oct-20  18:00:00.041156	-2.504883
08-Oct-20  18:00:00.041256	-2.160645
08-Oct-20  18:00:00.041356	-1.809082
08-Oct-20  18:00:00.041456	-1.462402
08-Oct-20  18:00:00.041556	-1.110840
08-Oct-20  18:00:00.041656	-0.764160
08-Oct-20  18:00:00.041756	-0.417480
08-Oct-20  18:00:00.041856	-0.065918
08-Oct-20  18:00:00.041956	0.280762
08-Oct-20  18:00:00.042056	0.634766
08-Oct-20  18:00:00.042156	0.979004
08-Oct-20  18:00:00.042256	1.325684
08-Oct-20  18:00:00.042356	1.677246
08-Oct-20  18:00:00.042456	2.023926
08-Oct-20  18:00:00.042556	2.370605
08-Oct-20  18:00:00.042656	2.722168
08-Oct-20  18:00:00.042756	3.068848
08-Oct-20  18:00:00.042856	3.420410
08-Oct-20  18:00:00.042956	-3.635254
08-Oct-20  18:00:00.043056	-3.281250
08-Oct-20  18:00:00.043156	-2.937012
08-Oct-20  18:00:00.043256	-2.585449
08-Oct-20  18:00:00.043356	-2.238770
08-Oct-20  18:00:00.043456	-1.889648
08-Oct-20  18:00:00.043556	-1.540527
08-Oct-20  18:00:00.043656	-1.193848
08-Oct-20  18:00:00.043756	-0.842285
