t0	08-Oct-20  17:37:40.467729
delta t	1.000000E-5

time	Y
08-Oct-20  17:37:40.467729	3.688965
08-Oct-20  17:37:40.467739	3.688965
08-Oct-20  17:37:40.467749	3.688965
08-Oct-20  17:37:40.467759	3.688965
08-Oct-20  17:37:40.467769	3.688965
08-Oct-20  17:37:40.467779	3.688965
08-Oct-20  17:37:40.467789	3.688965
08-Oct-20  17:37:40.467799	3.688965
08-Oct-20  17:37:40.467809	3.688965
08-Oct-20  17:37:40.467819	3.688965
08-Oct-20  17:37:40.467829	3.688965
08-Oct-20  17:37:40.467839	3.688965
08-Oct-20  17:37:40.467849	3.688965
08-Oct-20  17:37:40.467859	3.688965
08-Oct-20  17:37:40.467869	3.688965
08-Oct-20  17:37:40.467879	3.688965
08-Oct-20  17:37:40.467889	3.688965
08-Oct-20  17:37:40.467899	3.688965
08-Oct-20  17:37:40.467909	3.688965
08-Oct-20  17:37:40.467919	3.688965
08-Oct-20  17:37:40.467929	3.688965
08-Oct-20  17:37:40.467939	3.688965
08-Oct-20  17:37:40.467949	3.688965
08-Oct-20  17:37:40.467959	3.688965
08-Oct-20  17:37:40.467969	3.688965
08-Oct-20  17:37:40.467979	3.688965
08-Oct-20  17:37:40.467989	3.688965
08-Oct-20  17:37:40.467999	3.688965
08-Oct-20  17:37:40.468009	3.688965
08-Oct-20  17:37:40.468019	3.688965
08-Oct-20  17:37:40.468029	3.688965
08-Oct-20  17:37:40.468039	3.688965
08-Oct-20  17:37:40.468049	3.688965
08-Oct-20  17:37:40.468059	3.688965
08-Oct-20  17:37:40.468069	3.688965
08-Oct-20  17:37:40.468079	3.688965
08-Oct-20  17:37:40.468089	3.688965
08-Oct-20  17:37:40.468099	3.688965
08-Oct-20  17:37:40.468109	3.688965
08-Oct-20  17:37:40.468119	3.688965
08-Oct-20  17:37:40.468129	3.688965
08-Oct-20  17:37:40.468139	3.688965
08-Oct-20  17:37:40.468149	3.688965
08-Oct-20  17:37:40.468159	3.688965
08-Oct-20  17:37:40.468169	3.688965
08-Oct-20  17:37:40.468179	3.688965
08-Oct-20  17:37:40.468189	3.688965
08-Oct-20  17:37:40.468199	3.688965
08-Oct-20  17:37:40.468209	3.688965
08-Oct-20  17:37:40.468219	3.688965
08-Oct-20  17:37:40.468229	3.688965
08-Oct-20  17:37:40.468239	3.688965
08-Oct-20  17:37:40.468249	3.688965
08-Oct-20  17:37:40.468259	3.688965
08-Oct-20  17:37:40.468269	3.688965
08-Oct-20  17:37:40.468279	3.688965
08-Oct-20  17:37:40.468289	3.688965
08-Oct-20  17:37:40.468299	3.688965
08-Oct-20  17:37:40.468309	3.688965
08-Oct-20  17:37:40.468319	3.688965
08-Oct-20  17:37:40.468329	3.688965
08-Oct-20  17:37:40.468339	3.688965
08-Oct-20  17:37:40.468349	3.688965
08-Oct-20  17:37:40.468359	3.688965
08-Oct-20  17:37:40.468369	3.688965
08-Oct-20  17:37:40.468379	3.688965
08-Oct-20  17:37:40.468389	3.688965
08-Oct-20  17:37:40.468399	3.688965
08-Oct-20  17:37:40.468409	3.688965
08-Oct-20  17:37:40.468419	3.688965
08-Oct-20  17:37:40.468429	3.688965
08-Oct-20  17:37:40.468439	3.688965
08-Oct-20  17:37:40.468449	3.688965
08-Oct-20  17:37:40.468459	3.688965
08-Oct-20  17:37:40.468469	3.688965
08-Oct-20  17:37:40.468479	3.688965
08-Oct-20  17:37:40.468489	3.688965
08-Oct-20  17:37:40.468499	3.688965
08-Oct-20  17:37:40.468509	3.688965
08-Oct-20  17:37:40.468519	3.688965
08-Oct-20  17:37:40.468529	3.688965
08-Oct-20  17:37:40.468539	3.688965
08-Oct-20  17:37:40.468549	3.688965
08-Oct-20  17:37:40.468559	3.688965
08-Oct-20  17:37:40.468569	3.688965
08-Oct-20  17:37:40.468579	3.688965
08-Oct-20  17:37:40.468589	3.688965
08-Oct-20  17:37:40.468599	3.688965
08-Oct-20  17:37:40.468609	3.688965
08-Oct-20  17:37:40.468619	3.688965
08-Oct-20  17:37:40.468629	3.688965
08-Oct-20  17:37:40.468639	3.688965
08-Oct-20  17:37:40.468649	3.688965
08-Oct-20  17:37:40.468659	3.688965
08-Oct-20  17:37:40.468669	3.688965
08-Oct-20  17:37:40.468679	3.688965
08-Oct-20  17:37:40.468689	3.688965
08-Oct-20  17:37:40.468699	3.688965
08-Oct-20  17:37:40.468709	3.688965
08-Oct-20  17:37:40.468719	3.688965
08-Oct-20  17:37:40.468729	3.688965
08-Oct-20  17:37:40.468739	3.688965
08-Oct-20  17:37:40.468749	3.688965
