t0	08-Oct-20  17:17:20.014557
delta t	0.000100

time	Y
08-Oct-20  17:17:20.014557	1.911621
08-Oct-20  17:17:20.014657	1.911621
08-Oct-20  17:17:20.014757	-0.012207
08-Oct-20  17:17:20.014857	1.066895
08-Oct-20  17:17:20.014957	2.053223
08-Oct-20  17:17:20.015057	2.858887
08-Oct-20  17:17:20.015157	3.415527
08-Oct-20  17:17:20.015257	3.674316
08-Oct-20  17:17:20.015357	3.610840
08-Oct-20  17:17:20.015457	3.234863
08-Oct-20  17:17:20.015557	2.575684
08-Oct-20  17:17:20.015657	1.691895
08-Oct-20  17:17:20.015757	0.656738
08-Oct-20  17:17:20.015857	-0.432129
08-Oct-20  17:17:20.015957	-1.486816
08-Oct-20  17:17:20.016057	-2.407227
08-Oct-20  17:17:20.016157	-3.125000
08-Oct-20  17:17:20.016257	-3.574219
08-Oct-20  17:17:20.016357	-3.710937
08-Oct-20  17:17:20.016457	-3.527832
08-Oct-20  17:17:20.016557	-3.032227
08-Oct-20  17:17:20.016657	-2.282715
08-Oct-20  17:17:20.016757	-1.330566
08-Oct-20  17:17:20.016857	-0.266113
08-Oct-20  17:17:20.016957	0.822754
08-Oct-20  17:17:20.017057	1.838379
08-Oct-20  17:17:20.017157	2.692871
08-Oct-20  17:17:20.017257	3.308105
08-Oct-20  17:17:20.017357	3.640137
08-Oct-20  17:17:20.017457	3.652344
08-Oct-20  17:17:20.017557	3.344727
08-Oct-20  17:17:20.017657	2.751465
08-Oct-20  17:17:20.017757	1.911621
08-Oct-20  17:17:20.017857	0.905762
08-Oct-20  17:17:20.017957	-0.178223
08-Oct-20  17:17:20.018057	-1.252441
08-Oct-20  17:17:20.018157	-2.214355
08-Oct-20  17:17:20.018257	-2.985840
08-Oct-20  17:17:20.018357	-3.496094
08-Oct-20  17:17:20.018457	-3.706055
08-Oct-20  17:17:20.018557	-3.593750
08-Oct-20  17:17:20.018657	-3.173828
08-Oct-20  17:17:20.018757	-2.478027
08-Oct-20  17:17:20.018857	-1.564941
08-Oct-20  17:17:20.018957	-0.515137
08-Oct-20  17:17:20.019057	0.573730
08-Oct-20  17:17:20.019157	1.613770
08-Oct-20  17:17:20.019257	2.512207
08-Oct-20  17:17:20.019357	3.190918
08-Oct-20  17:17:20.019457	3.591309
08-Oct-20  17:17:20.019557	3.679199
08-Oct-20  17:17:20.019657	3.444824
08-Oct-20  17:17:20.019757	2.912598
08-Oct-20  17:17:20.019857	2.121582
08-Oct-20  17:17:20.019957	1.149902
08-Oct-20  17:17:20.020057	0.075684
08-Oct-20  17:17:20.020157	-1.008301
08-Oct-20  17:17:20.020257	-2.004395
08-Oct-20  17:17:20.020357	-2.827148
08-Oct-20  17:17:20.020457	-3.405762
08-Oct-20  17:17:20.020557	-3.686523
08-Oct-20  17:17:20.020657	-3.649902
08-Oct-20  17:17:20.020757	-3.295898
08-Oct-20  17:17:20.020857	-2.656250
08-Oct-20  17:17:20.020957	-1.789551
08-Oct-20  17:17:20.021057	-0.769043
08-Oct-20  17:17:20.021157	0.319824
08-Oct-20  17:17:20.021257	1.384277
08-Oct-20  17:17:20.021357	2.321777
08-Oct-20  17:17:20.021457	3.059082
08-Oct-20  17:17:20.021557	3.527832
08-Oct-20  17:17:20.021657	3.688965
08-Oct-20  17:17:20.021757	3.527832
08-Oct-20  17:17:20.021857	3.059082
08-Oct-20  17:17:20.021957	2.326660
08-Oct-20  17:17:20.022057	1.384277
08-Oct-20  17:17:20.022157	0.324707
08-Oct-20  17:17:20.022257	-0.764160
08-Oct-20  17:17:20.022357	-1.784668
08-Oct-20  17:17:20.022457	-2.656250
08-Oct-20  17:17:20.022557	-3.295898
08-Oct-20  17:17:20.022657	-3.647461
08-Oct-20  17:17:20.022757	-3.688965
08-Oct-20  17:17:20.022857	-3.403320
08-Oct-20  17:17:20.022957	-2.829590
08-Oct-20  17:17:20.023057	-2.006836
08-Oct-20  17:17:20.023157	-1.013184
08-Oct-20  17:17:20.023257	0.070801
08-Oct-20  17:17:20.023357	1.145020
08-Oct-20  17:17:20.023457	2.116699
08-Oct-20  17:17:20.023557	2.907715
08-Oct-20  17:17:20.023657	3.444824
08-Oct-20  17:17:20.023757	3.679199
08-Oct-20  17:17:20.023857	3.591309
08-Oct-20  17:17:20.023957	3.195801
08-Oct-20  17:17:20.024057	2.517090
08-Oct-20  17:17:20.024157	1.618652
08-Oct-20  17:17:20.024257	0.578613
08-Oct-20  17:17:20.024357	-0.515137
08-Oct-20  17:17:20.024457	-1.560059
08-Oct-20  17:17:20.024557	-2.470703
08-Oct-20  17:17:20.024657	-3.168945
08-Oct-20  17:17:20.024757	-3.593750
08-Oct-20  17:17:20.024857	-3.706055
08-Oct-20  17:17:20.024957	-3.496094
08-Oct-20  17:17:20.025057	-2.985840
08-Oct-20  17:17:20.025157	-2.216797
08-Oct-20  17:17:20.025257	-1.252441
08-Oct-20  17:17:20.025357	-0.183105
08-Oct-20  17:17:20.025457	0.900879
08-Oct-20  17:17:20.025557	1.906738
08-Oct-20  17:17:20.025657	2.744141
08-Oct-20  17:17:20.025757	3.344727
08-Oct-20  17:17:20.025857	3.652344
08-Oct-20  17:17:20.025957	3.640137
08-Oct-20  17:17:20.026057	3.310547
08-Oct-20  17:17:20.026157	2.692871
08-Oct-20  17:17:20.026257	1.843262
08-Oct-20  17:17:20.026357	0.827637
08-Oct-20  17:17:20.026457	-0.261230
08-Oct-20  17:17:20.026557	-1.325684
08-Oct-20  17:17:20.026657	-2.277832
08-Oct-20  17:17:20.026757	-3.032227
08-Oct-20  17:17:20.026857	-3.520508
08-Oct-20  17:17:20.026957	-3.713379
08-Oct-20  17:17:20.027057	-3.576660
08-Oct-20  17:17:20.027157	-3.129883
08-Oct-20  17:17:20.027257	-2.412109
