t0	08-Oct-20  17:23:35.418425
delta t	1.000000E-5

time	Y
08-Oct-20  17:23:35.418425	0.131836
08-Oct-20  17:23:35.418435	0.129395
08-Oct-20  17:23:35.418445	0.131836
08-Oct-20  17:23:35.418455	0.131836
08-Oct-20  17:23:35.418465	0.129395
08-Oct-20  17:23:35.418475	0.129395
08-Oct-20  17:23:35.418485	0.129395
08-Oct-20  17:23:35.418495	0.131836
08-Oct-20  17:23:35.418505	0.129395
08-Oct-20  17:23:35.418515	0.129395
08-Oct-20  17:23:35.418525	0.129395
08-Oct-20  17:23:35.418535	0.131836
08-Oct-20  17:23:35.418545	0.129395
08-Oct-20  17:23:35.418555	0.131836
08-Oct-20  17:23:35.418565	0.129395
08-Oct-20  17:23:35.418575	0.129395
08-Oct-20  17:23:35.418585	0.129395
08-Oct-20  17:23:35.418595	0.129395
08-Oct-20  17:23:35.418605	0.131836
08-Oct-20  17:23:35.418615	-0.012207
08-Oct-20  17:23:35.418625	0.056152
08-Oct-20  17:23:35.418635	0.129395
08-Oct-20  17:23:35.418645	0.197754
08-Oct-20  17:23:35.418655	0.266113
08-Oct-20  17:23:35.418665	0.334473
08-Oct-20  17:23:35.418675	0.407715
08-Oct-20  17:23:35.418685	0.478516
08-Oct-20  17:23:35.418695	0.544434
08-Oct-20  17:23:35.418705	0.612793
08-Oct-20  17:23:35.418715	0.686035
08-Oct-20  17:23:35.418725	0.754395
08-Oct-20  17:23:35.418735	0.822754
08-Oct-20  17:23:35.418745	0.895996
08-Oct-20  17:23:35.418755	0.964355
08-Oct-20  17:23:35.418765	1.032715
08-Oct-20  17:23:35.418775	1.101074
08-Oct-20  17:23:35.418785	1.174316
08-Oct-20  17:23:35.418795	1.242676
08-Oct-20  17:23:35.418805	1.311035
08-Oct-20  17:23:35.418815	1.384277
08-Oct-20  17:23:35.418825	1.452637
08-Oct-20  17:23:35.418835	1.520996
08-Oct-20  17:23:35.418845	1.589355
08-Oct-20  17:23:35.418855	1.662598
08-Oct-20  17:23:35.418865	1.730957
08-Oct-20  17:23:35.418875	1.799316
08-Oct-20  17:23:35.418885	1.867676
08-Oct-20  17:23:35.418895	1.940918
08-Oct-20  17:23:35.418905	2.009277
08-Oct-20  17:23:35.418915	2.075195
08-Oct-20  17:23:35.418925	2.150879
08-Oct-20  17:23:35.418935	2.219238
08-Oct-20  17:23:35.418945	2.287598
08-Oct-20  17:23:35.418955	2.355957
08-Oct-20  17:23:35.418965	2.429199
08-Oct-20  17:23:35.418975	2.497559
08-Oct-20  17:23:35.418985	2.565918
08-Oct-20  17:23:35.418995	2.634277
08-Oct-20  17:23:35.419005	2.707520
08-Oct-20  17:23:35.419015	2.775879
08-Oct-20  17:23:35.419025	2.844238
08-Oct-20  17:23:35.419035	2.917480
08-Oct-20  17:23:35.419045	2.985840
08-Oct-20  17:23:35.419055	3.054199
08-Oct-20  17:23:35.419065	3.122559
08-Oct-20  17:23:35.419075	3.193359
08-Oct-20  17:23:35.419085	3.264160
08-Oct-20  17:23:35.419095	3.332520
08-Oct-20  17:23:35.419105	3.405762
08-Oct-20  17:23:35.419115	3.474121
08-Oct-20  17:23:35.419125	3.542480
08-Oct-20  17:23:35.419135	3.610840
08-Oct-20  17:23:35.419145	3.681641
08-Oct-20  17:23:35.419155	3.625488
08-Oct-20  17:23:35.419165	3.552246
08-Oct-20  17:23:35.419175	3.483887
08-Oct-20  17:23:35.419185	3.415527
08-Oct-20  17:23:35.419195	3.347168
08-Oct-20  17:23:35.419205	3.273926
08-Oct-20  17:23:35.419215	3.205566
08-Oct-20  17:23:35.419225	3.137207
08-Oct-20  17:23:35.419235	3.063965
08-Oct-20  17:23:35.419245	2.995605
08-Oct-20  17:23:35.419255	2.927246
08-Oct-20  17:23:35.419265	2.858887
08-Oct-20  17:23:35.419275	2.785645
08-Oct-20  17:23:35.419285	2.717285
08-Oct-20  17:23:35.419295	2.648926
08-Oct-20  17:23:35.419305	2.575684
08-Oct-20  17:23:35.419315	2.507324
08-Oct-20  17:23:35.419325	2.438965
08-Oct-20  17:23:35.419335	2.370605
08-Oct-20  17:23:35.419345	2.297363
08-Oct-20  17:23:35.419355	2.229004
08-Oct-20  17:23:35.419365	2.160645
08-Oct-20  17:23:35.419375	2.089844
08-Oct-20  17:23:35.419385	2.019043
08-Oct-20  17:23:35.419395	1.950684
08-Oct-20  17:23:35.419405	1.882324
08-Oct-20  17:23:35.419415	1.809082
08-Oct-20  17:23:35.419425	1.740723
08-Oct-20  17:23:35.419435	1.672363
08-Oct-20  17:23:35.419445	1.604004
